index,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,satisfaction
69,9261,Female,Loyal Customer,38,Business travel,Eco Plus,157,0,0,4,4,4,4,4,4,4,4,3,3,1,1,4,4,satisfied
70,61033,Female,Loyal Customer,53,Business travel,Business,1506,0,0,4,4,4,4,3,4,5,5,5,5,5,4,5,5,satisfied
71,75930,Male,Loyal Customer,30,Business travel,Eco Plus,205,64,49,3,2,2,2,3,3,3,3,2,5,1,1,2,3,neutral or dissatisfied
72,112142,Male,disloyal Customer,39,Business travel,Business,895,0,2,2,2,2,4,5,2,5,5,5,4,4,5,5,5,neutral or dissatisfied
73,24518,Male,Loyal Customer,66,Personal Travel,Eco Plus,516,0,37,1,4,1,2,2,1,2,2,4,4,5,5,5,2,neutral or dissatisfied
74,112524,Male,Loyal Customer,45,Personal Travel,Eco,909,0,0,3,5,3,2,1,3,1,1,4,4,5,3,4,1,neutral or dissatisfied
75,101639,Female,disloyal Customer,25,Business travel,Business,1435,1,1,5,1,5,4,1,5,1,1,4,2,5,4,5,1,satisfied
76,85018,Male,Loyal Customer,52,Business travel,Business,1190,0,6,2,4,4,4,1,4,3,2,2,2,2,1,2,4,neutral or dissatisfied
77,106922,Male,Loyal Customer,64,Personal Travel,Eco,1259,20,5,4,5,4,2,2,4,2,2,4,5,3,4,4,2,satisfied
78,32564,Female,disloyal Customer,50,Business travel,Eco,216,0,0,4,0,4,4,4,4,4,4,5,2,1,4,4,4,neutral or dissatisfied
79,92242,Female,disloyal Customer,41,Business travel,Business,1670,0,0,2,1,1,2,3,2,4,3,3,5,3,4,5,3,neutral or dissatisfied
80,73302,Male,Loyal Customer,26,Business travel,Business,3960,45,48,1,1,1,1,4,4,4,4,4,2,5,4,4,4,satisfied
81,42267,Female,disloyal Customer,25,Business travel,Eco,817,0,0,4,4,4,3,3,4,3,3,2,3,2,3,3,3,neutral or dissatisfied
82,121358,Female,disloyal Customer,44,Business travel,Business,1670,0,8,3,3,3,4,5,3,5,5,3,2,4,2,4,5,neutral or dissatisfied
83,65655,Female,disloyal Customer,21,Business travel,Business,861,0,0,4,0,4,4,1,4,1,1,3,4,4,4,5,1,satisfied
84,88062,Male,Loyal Customer,47,Business travel,Business,406,44,50,2,2,2,2,3,5,5,4,4,4,4,5,4,4,satisfied
85,91330,Male,Loyal Customer,31,Business travel,Eco Plus,404,17,3,4,4,4,4,4,4,4,4,1,2,2,4,2,4,satisfied
86,22031,Female,Loyal Customer,57,Personal Travel,Eco Plus,500,0,0,3,5,3,2,3,4,5,5,5,3,5,4,5,5,neutral or dissatisfied
87,27921,Male,Loyal Customer,44,Personal Travel,Eco,689,0,0,3,5,3,4,5,3,2,5,4,4,5,3,5,5,neutral or dissatisfied
88,51947,Male,Loyal Customer,45,Business travel,Business,3100,0,0,3,3,3,3,1,1,3,4,4,4,4,3,4,1,satisfied
89,40017,Male,disloyal Customer,13,Business travel,Eco,525,0,0,2,2,2,3,3,2,3,3,3,1,3,1,4,3,neutral or dissatisfied
90,76392,Male,Loyal Customer,60,Personal Travel,Eco,931,0,0,0,5,0,3,4,0,3,4,4,5,5,4,5,4,satisfied
91,118486,Female,disloyal Customer,41,Business travel,Business,304,31,19,5,5,5,3,2,5,2,2,3,4,4,4,4,2,satisfied
92,6012,Male,Loyal Customer,30,Business travel,Business,1896,81,72,4,1,1,1,4,4,4,4,2,2,3,4,2,4,neutral or dissatisfied
93,30183,Female,Loyal Customer,51,Business travel,Eco Plus,261,0,0,5,4,4,4,4,3,1,5,5,5,5,1,5,1,satisfied
94,41652,Female,Loyal Customer,61,Business travel,Eco,347,0,11,2,5,5,5,5,2,4,3,3,2,3,3,3,4,satisfied
95,15138,Female,Loyal Customer,32,Business travel,Eco,1042,35,34,4,1,1,1,4,4,4,4,4,3,1,5,2,4,satisfied
96,123589,Female,Loyal Customer,39,Personal Travel,Eco,1773,14,18,4,5,4,5,5,4,5,5,2,2,3,3,1,5,neutral or dissatisfied
97,114534,Male,Loyal Customer,19,Personal Travel,Business,342,0,0,3,1,3,2,3,3,3,3,2,1,3,1,3,3,neutral or dissatisfied
98,93076,Female,Loyal Customer,15,Personal Travel,Eco Plus,297,67,62,1,5,1,3,5,1,5,5,5,1,1,3,4,5,neutral or dissatisfied
99,96963,Female,disloyal Customer,42,Business travel,Business,883,22,27,3,3,3,3,3,3,4,3,5,2,4,3,4,3,satisfied
100,85494,Female,Loyal Customer,16,Personal Travel,Eco,332,40,52,2,5,2,1,3,2,4,3,5,4,5,4,4,3,neutral or dissatisfied
101,72989,Male,Loyal Customer,19,Business travel,Business,2388,0,0,5,5,5,5,4,5,4,4,5,5,1,5,4,4,satisfied
102,42357,Female,Loyal Customer,29,Personal Travel,Eco,748,0,0,2,5,2,2,5,2,1,5,4,2,4,3,5,5,neutral or dissatisfied
103,23040,Female,disloyal Customer,27,Business travel,Eco Plus,1080,0,0,3,3,3,3,3,3,3,3,4,1,3,3,3,3,neutral or dissatisfied
104,65420,Male,disloyal Customer,22,Business travel,Business,231,0,0,5,0,5,4,5,5,5,5,3,4,4,3,1,5,satisfied
105,65045,Female,Loyal Customer,15,Personal Travel,Eco,551,3,0,3,4,3,3,4,3,4,4,1,1,4,2,1,4,neutral or dissatisfied
106,37373,Male,disloyal Customer,11,Business travel,Eco,972,0,0,1,1,1,3,1,1,1,1,4,3,4,2,1,1,neutral or dissatisfied
107,44405,Female,Loyal Customer,34,Personal Travel,Eco,265,0,23,4,3,4,3,5,4,5,5,2,5,2,1,4,5,neutral or dissatisfied
108,16653,Female,disloyal Customer,26,Business travel,Eco,488,0,0,2,0,2,4,1,2,1,1,3,2,5,1,3,1,neutral or dissatisfied
109,71655,Female,Loyal Customer,26,Personal Travel,Eco,1144,0,0,3,5,2,2,4,2,4,4,5,4,5,3,5,4,neutral or dissatisfied
110,77591,Male,Loyal Customer,53,Business travel,Business,2332,0,3,5,5,5,5,5,5,5,4,4,5,4,4,4,3,satisfied
111,4585,Male,Loyal Customer,36,Business travel,Business,3024,30,13,4,2,2,2,1,3,4,4,4,4,4,4,4,1,neutral or dissatisfied
112,108347,Male,Loyal Customer,32,Business travel,Business,1750,0,0,1,5,4,5,1,1,1,1,1,1,2,4,3,1,neutral or dissatisfied
113,23400,Male,Loyal Customer,20,Personal Travel,Eco,483,91,82,2,3,2,3,5,2,5,5,5,2,3,2,4,5,neutral or dissatisfied
114,31010,Female,Loyal Customer,35,Business travel,Business,2128,0,0,2,2,2,2,1,5,1,4,4,4,4,5,4,4,satisfied
115,57513,Male,Loyal Customer,15,Personal Travel,Eco,235,1,10,2,4,2,1,1,2,1,1,3,3,4,4,4,1,neutral or dissatisfied
116,20979,Male,Loyal Customer,52,Personal Travel,Eco,689,0,0,2,5,2,3,3,2,3,3,1,1,2,2,2,3,neutral or dissatisfied
117,95841,Male,Loyal Customer,45,Business travel,Business,1852,0,0,1,1,1,1,5,5,4,2,2,2,2,5,2,5,satisfied
118,114684,Female,disloyal Customer,24,Business travel,Eco,372,21,23,4,4,4,3,3,4,5,3,5,4,4,4,4,3,neutral or dissatisfied
119,111667,Female,Loyal Customer,46,Business travel,Business,3705,4,0,4,3,3,3,4,3,4,4,4,4,4,4,4,4,neutral or dissatisfied
120,20101,Male,disloyal Customer,26,Business travel,Eco,416,0,9,3,0,3,3,1,3,1,1,3,5,2,3,3,1,neutral or dissatisfied
121,63212,Male,Loyal Customer,28,Business travel,Eco,337,3,0,4,1,1,1,4,4,4,4,1,3,2,3,2,4,neutral or dissatisfied
122,8256,Male,Loyal Customer,11,Personal Travel,Eco,335,0,0,1,5,1,3,3,1,3,3,4,2,4,5,5,3,neutral or dissatisfied
123,56161,Male,Loyal Customer,45,Business travel,Business,1400,4,9,5,5,5,5,2,5,5,4,4,4,4,3,4,5,satisfied
124,121196,Male,Loyal Customer,62,Personal Travel,Eco,2521,7,30,4,5,4,3,4,1,1,5,3,5,4,1,4,1,neutral or dissatisfied
125,23788,Female,Loyal Customer,34,Business travel,Business,374,0,0,3,3,3,3,4,4,1,4,4,4,4,5,4,3,satisfied
126,129579,Male,Loyal Customer,51,Business travel,Business,308,17,8,2,2,2,2,4,5,5,4,4,4,4,3,4,5,satisfied
127,127516,Female,Loyal Customer,58,Business travel,Eco Plus,575,14,16,1,4,4,4,2,3,4,2,2,1,2,2,2,4,neutral or dissatisfied
128,18012,Male,Loyal Customer,22,Personal Travel,Eco,618,0,0,3,5,3,2,3,3,3,3,4,5,4,5,5,3,neutral or dissatisfied
129,45561,Male,Loyal Customer,8,Business travel,Eco,1304,0,0,4,4,4,4,4,4,4,4,2,2,4,2,1,4,satisfied
130,5228,Male,disloyal Customer,26,Business travel,Business,351,4,11,4,4,4,3,2,4,2,2,4,5,4,4,5,2,satisfied
131,18311,Female,Loyal Customer,22,Personal Travel,Eco,549,15,3,4,0,4,3,3,4,1,3,3,2,5,4,5,3,neutral or dissatisfied
132,59891,Female,Loyal Customer,21,Business travel,Business,3510,0,0,3,1,1,1,3,2,3,3,3,3,3,1,3,3,neutral or dissatisfied
133,60651,Male,Loyal Customer,31,Business travel,Business,1620,0,0,3,2,4,2,3,3,3,3,2,2,2,3,4,3,neutral or dissatisfied
134,51013,Female,Loyal Customer,44,Personal Travel,Eco,326,0,0,2,0,2,2,2,3,5,1,1,2,1,2,1,5,neutral or dissatisfied
135,91746,Male,Loyal Customer,27,Business travel,Business,588,0,0,2,2,2,2,5,5,5,5,5,2,5,3,5,5,satisfied
136,4233,Female,Loyal Customer,47,Business travel,Business,1020,0,0,3,1,3,3,2,4,5,5,5,5,5,3,5,5,satisfied
137,14187,Male,Loyal Customer,24,Business travel,Business,2903,0,0,3,3,3,3,3,3,3,3,4,2,2,2,2,3,neutral or dissatisfied
138,19669,Male,Loyal Customer,67,Business travel,Business,2659,0,0,1,1,1,1,1,3,3,1,1,1,1,1,1,1,neutral or dissatisfied
139,31147,Male,Loyal Customer,32,Business travel,Business,3037,0,0,2,2,2,2,4,4,4,4,4,1,1,3,5,4,satisfied
140,128842,Female,Loyal Customer,58,Personal Travel,Eco,2475,29,10,4,4,4,3,4,1,1,3,3,3,4,1,3,1,satisfied
141,27562,Male,Loyal Customer,12,Personal Travel,Eco,978,0,0,4,5,4,5,1,4,1,1,3,4,4,5,4,1,neutral or dissatisfied
142,775,Female,Loyal Customer,56,Business travel,Business,2568,0,0,3,1,1,1,5,3,2,3,3,3,3,3,3,4,neutral or dissatisfied
143,14070,Female,Loyal Customer,58,Personal Travel,Business,371,0,0,3,5,5,1,2,3,5,1,1,5,1,3,1,3,neutral or dissatisfied
144,106007,Male,disloyal Customer,24,Business travel,Eco,791,39,6,3,3,3,3,5,3,5,5,2,1,3,1,3,5,neutral or dissatisfied
145,116004,Male,Loyal Customer,68,Personal Travel,Eco,480,7,6,3,4,3,3,5,3,5,5,2,4,3,4,4,5,neutral or dissatisfied
146,68886,Male,Loyal Customer,46,Business travel,Business,1786,1,7,1,1,1,1,3,5,5,5,5,5,5,5,5,3,satisfied
147,72413,Male,Loyal Customer,43,Business travel,Business,1849,0,7,2,2,2,2,2,4,4,3,3,4,3,3,3,4,satisfied
148,73604,Female,Loyal Customer,55,Business travel,Business,3634,0,0,0,4,0,4,4,5,5,4,4,1,1,4,4,3,satisfied
149,48415,Female,Loyal Customer,54,Personal Travel,Business,844,0,0,4,5,5,2,2,4,4,3,3,5,3,3,3,4,neutral or dissatisfied
150,105708,Female,Loyal Customer,42,Business travel,Business,3094,0,10,5,5,5,5,4,4,5,2,2,2,2,5,2,3,satisfied
151,65579,Female,Loyal Customer,47,Business travel,Business,3465,13,15,1,3,3,3,3,3,4,1,1,1,1,1,1,4,neutral or dissatisfied
152,73058,Female,disloyal Customer,29,Business travel,Business,1035,0,0,1,1,1,1,5,1,5,5,4,4,4,4,4,5,neutral or dissatisfied
153,65585,Female,Loyal Customer,36,Business travel,Eco,237,0,0,2,4,4,4,2,2,2,2,2,4,2,1,1,2,neutral or dissatisfied
154,8346,Female,Loyal Customer,50,Business travel,Business,3175,0,0,4,4,4,4,2,4,5,5,5,5,5,4,5,3,satisfied
155,79678,Female,Loyal Customer,31,Personal Travel,Eco,760,17,27,4,2,4,4,1,4,1,1,3,4,4,4,4,1,neutral or dissatisfied
156,112483,Male,Loyal Customer,13,Personal Travel,Eco,853,105,122,1,4,1,4,4,1,4,4,5,2,5,4,4,4,neutral or dissatisfied
157,31698,Male,disloyal Customer,24,Business travel,Eco,446,0,0,3,4,4,4,5,4,5,5,4,4,4,2,4,5,neutral or dissatisfied
158,74030,Female,Loyal Customer,60,Business travel,Business,1071,0,0,2,2,2,2,4,5,1,3,3,4,3,5,3,1,satisfied
159,124931,Female,Loyal Customer,42,Personal Travel,Eco,728,0,3,2,3,2,3,5,3,4,3,3,2,3,3,3,2,neutral or dissatisfied
160,73924,Female,Loyal Customer,57,Business travel,Business,2585,0,0,2,2,2,2,4,4,4,4,3,5,4,4,3,4,satisfied
161,76073,Female,Loyal Customer,42,Business travel,Business,707,27,11,2,2,4,2,2,5,4,3,3,4,3,4,3,3,satisfied
162,104623,Male,disloyal Customer,20,Business travel,Eco,861,0,0,0,0,0,5,2,0,2,2,4,3,5,3,5,2,satisfied
163,58523,Female,Loyal Customer,51,Personal Travel,Eco,719,19,0,3,5,2,4,3,5,4,4,4,2,4,4,4,3,neutral or dissatisfied
164,121929,Male,Loyal Customer,45,Business travel,Business,1790,0,0,2,5,2,2,2,4,5,5,5,5,5,3,5,4,satisfied
165,30704,Female,Loyal Customer,26,Business travel,Eco Plus,680,12,27,5,5,5,5,5,5,5,5,1,4,5,1,3,5,satisfied
166,58896,Male,disloyal Customer,26,Business travel,Eco,888,51,30,2,2,2,3,5,2,5,5,4,3,3,2,4,5,neutral or dissatisfied
167,26920,Female,Loyal Customer,24,Personal Travel,Eco,1660,0,2,2,1,2,3,3,2,5,3,1,4,2,2,2,3,neutral or dissatisfied
168,13884,Male,Loyal Customer,49,Business travel,Eco,578,162,179,5,1,1,1,5,5,5,1,1,1,4,5,4,5,satisfied
169,87681,Female,Loyal Customer,17,Business travel,Eco,606,15,15,5,1,4,1,5,5,4,5,5,1,2,5,3,5,satisfied
170,81719,Female,Loyal Customer,39,Business travel,Business,1487,7,0,3,3,3,3,4,4,5,4,4,4,4,4,4,3,satisfied
171,85554,Female,Loyal Customer,49,Business travel,Business,317,0,0,0,1,1,1,3,4,5,4,4,4,4,4,4,5,satisfied
172,12645,Female,Loyal Customer,48,Personal Travel,Eco,844,0,1,3,4,4,3,4,4,4,4,4,4,4,3,4,3,neutral or dissatisfied
173,101275,Male,Loyal Customer,52,Business travel,Business,3747,24,20,5,5,5,5,2,4,5,4,4,4,4,5,4,5,satisfied
174,95982,Female,Loyal Customer,25,Business travel,Business,2748,0,0,4,4,4,4,3,3,3,3,3,2,4,5,4,3,satisfied
175,74610,Female,Loyal Customer,16,Business travel,Business,1503,0,0,3,5,5,5,3,3,3,3,2,4,3,2,3,3,neutral or dissatisfied
176,76449,Male,Loyal Customer,58,Business travel,Business,1717,0,0,1,1,1,1,2,4,5,4,4,4,4,5,4,4,satisfied
177,14030,Male,disloyal Customer,8,Business travel,Business,1117,0,7,4,3,4,3,3,4,3,3,4,5,4,4,3,3,neutral or dissatisfied
178,69692,Male,Loyal Customer,42,Business travel,Business,1372,141,125,3,3,5,3,4,4,4,5,4,5,4,4,3,4,satisfied
179,47648,Female,Loyal Customer,52,Business travel,Business,2768,0,0,4,1,1,1,2,4,4,4,4,3,4,2,4,4,neutral or dissatisfied
180,52168,Female,Loyal Customer,47,Business travel,Eco,370,0,0,5,3,3,3,2,1,1,5,5,5,5,3,5,4,satisfied
181,60251,Female,Loyal Customer,69,Personal Travel,Eco,1546,1,26,1,5,1,2,4,3,4,1,1,1,1,4,1,3,neutral or dissatisfied
182,35881,Female,Loyal Customer,47,Personal Travel,Eco,1023,0,0,2,3,3,3,5,3,3,4,4,3,1,3,4,4,neutral or dissatisfied
183,28852,Female,Loyal Customer,41,Business travel,Business,3636,0,0,1,1,1,1,3,5,4,4,4,4,4,5,4,2,satisfied
184,55341,Female,Loyal Customer,40,Personal Travel,Eco,1325,0,9,4,4,4,3,1,4,1,1,4,2,4,5,5,1,neutral or dissatisfied
185,84553,Female,Loyal Customer,56,Personal Travel,Eco,2556,0,0,1,4,1,3,3,3,1,5,5,1,5,1,5,2,neutral or dissatisfied
186,100249,Male,Loyal Customer,41,Business travel,Business,1052,6,0,2,2,2,2,4,4,4,4,4,4,4,3,4,4,satisfied
187,2463,Female,Loyal Customer,40,Business travel,Eco,773,15,26,3,4,4,4,3,3,3,3,2,5,4,4,4,3,neutral or dissatisfied
188,22924,Male,Loyal Customer,12,Personal Travel,Business,817,0,0,2,3,2,2,1,2,1,1,1,3,5,3,2,1,neutral or dissatisfied
189,25542,Male,Loyal Customer,59,Personal Travel,Eco,516,3,0,4,5,3,4,1,3,1,1,5,3,4,5,4,1,satisfied
190,115972,Female,Loyal Customer,21,Personal Travel,Eco,447,34,19,1,5,1,1,2,1,2,2,3,5,5,3,4,2,neutral or dissatisfied
191,2980,Male,Loyal Customer,12,Personal Travel,Eco,462,0,0,2,4,2,3,2,2,2,2,3,4,2,2,1,2,neutral or dissatisfied
192,125097,Male,Loyal Customer,31,Business travel,Eco,361,0,0,1,5,5,5,1,1,1,1,2,5,3,4,4,1,neutral or dissatisfied
193,46701,Female,Loyal Customer,37,Personal Travel,Eco,125,6,4,3,2,3,3,2,3,2,2,3,3,3,4,3,2,neutral or dissatisfied
